Code,Parent Code,Full Code,Meaning,User Sort Order,Effective From Date,Effective To Date,Usage Guidelines,Notes,SortPolicyOrder
CD07,,CD07,Carriage of Dangerous Goods and Use of Transportable Pressure Equipment Regulations 2007,,,,,,CD07
CD70,,CD70,Chronically Sick and Disabled Persons Act 1970,,,,,,CD70
CD71,,CD71,Criminal Damage Act 1971,,,,,,CD71
CD79,,CD79,Customs and Excise Duties (General Reliefs) Act 1979,,,,,,CD79
CD92,,CD92,Control of Dogs Order 1992,,,,,,CD92
CD98,,CD98,Crime and Disorder Act 1998,,,,,,CD98
CE07,,CE07,Civil Enforcement of Parking Contraventions (England) General Regulations 2007,,,,,,CE07
CE20,,CE20,Census Act 1920,,,,,,CE20
CE79,,CE79,Customs and Excise Management Act 1979,,,,,,CE79
CH06,,CH06,Childcare Act 2006,,,,,,CH06
CH08,,CH08,Cancellation of Contracts made in a Consumer's Home or Place of Work etc Regs 2008,,,,,,CH08
CH75,,CH75,Child Benefit Act 1975,,,,,,CH75
CH84,,CH84,Child Abduction Act 1984,,,,,,CH84
CH89,,CH89,Children Act 1989,,,,,,CH89
CH92,,CH92,Charities Act 1992,,,,,,CH92
CH93,,CH93,Charities Act 1993,,,,,,CH93
CH94,,CH94,Chiropractors Act 1994,,,,,,CH94
CI03,,CI03,Crime (International Co-operation) Act 2003,,,,,,CI03
CI04,,CI04,Civil Partnership Act 2004,,,,,,CI04
CI06,,CI06,Charities Act 2006,,,,,,CI06
CI37,,CI37,Cinematograph Films (Animals) Act 1937,,,,,,CI37
CI98,,CI98,Cattle Identification Regulations 1998,,,,,,CI98
CJ00,,CJ00,Criminal Justice and Court Services Act 2000,,,,,,CJ00
CJ01,,CJ01,Criminal Justice and Police Act 2001,,,,,,CJ01
CJ03,,CJ03,Criminal Justice Act 2003,,,,,,CJ03
CJ08,,CJ08,Criminal Justice and Immigration Act 2008,,,,,,CJ08
CJ25,,CJ25,Criminal Justice Act 1925,,,,,,CJ25
CJ61,,CJ61,Criminal Justice Act 1961,,,,,,CJ61
CJ67,,CJ67,Criminal Justice Act 1967,,,,,,CJ67
CJ82,,CJ82,Criminal Justice Act 1982,,,,,,CJ82
CJ87,,CJ87,Criminal Justice Act 1987,,,,,,CJ87
CJ88,,CJ88,Criminal Justice Act 1988,,,,,,CJ88
CJ90,,CJ90,Criminal Justice (International Co-operation) Act 1990,,,,,,CJ90
CJ91,,CJ91,Criminal Justice Act 1991,,,,,,CJ91
CJ93,,CJ93,Criminal Justice Act 1993,,,,,,CJ93
CJ94,,CJ94,Criminal Justice and Public Order Act 1994,,,,,,CJ94
CL67,,CL67,Criminal Law Act 1967,,,,,,CL67
CL77,,CL77,Criminal Law Act 1977,,,,,,CL77
CL99,,CL99,Cigarette Lighter Refill (Safety) Regulations 1999,,,,,,CL99
CM04,,CM04,Cosmetic Products Safety Regulations 2004,,,,,,CM04
CM06,,CM06,Compensation Act 2006,,,,,,CM06
CM07,,CM07,Corporate Manslaughter and Corporate Homicide Act 2007,,,,,,CM07
CM48,,CM48,Companies Act 1948,,,,,,CM48
CM76,,CM76,Companies Act 1976,,,,,,CM76
CM80,,CM80,Companies Act 1980,,,,,,CM80
CM81,,CM81,Companies Act 1981,,,,,,CM81
CM85,,CM85,Companies Act 1985,,,,,,CM85
CM89,,CM89,Companies Act 1989,,,,,,CM89
CM90,,CM90,Computer Misuse Act 1990,,,,,,CM90
CN04,,CN04,Controls on Nonylphenol and Nonylphenol Ethoxylate Regulations 2004,,,,,,CN04
CN05,,CN05,Clean Neighbourhoods and Environment Act 2005,,,,,,CN05
CN82,,CN82,Corn Returns Act 1882,,,,,,CN82
CN94,,CN94,"Conservation (Natural Habitats, etc) Regulations 1994",,,,,,CN94
CO06,,CO06,Commons Act 2006,,,,,,CO06
CO08,,CO08,Commons Act 1908,,,,,,CO08
CO36,,CO36,Coinage Offences Act 1936,,,,,,CO36
CO71,,CO71,Coinage Act 1971,,,,,,CO71
CO87,,CO87,Coroners Act 1887,,,,,,CO87
CO88,,CO88,Coroners Act 1988,,,,,,CO88
COML,,COML,Common Law,,,,,,COML
CP08,,CP08,Consumer Protection from Unfair Trading Regulations 2008,,,,,,CP08
CP65,,CP65,Criminal Procedure (Attendance of Witnesses) Act 1965,,,,,,CP65
CP74,,CP74,Control of Pollution Act 1974,,,,,,CP74
CP75,,CP75,Conspiracy and Protection of Property Act 1875,,,,,,CP75
CP87,,CP87,Consumer Protection Act 1987,,,,,,CP87
CP88,,CP88,"Copyright, Designs and Patents Act 1988",,,,,,CP88
CP89,,CP89,Control of Pollution (Amendment) Act 1989,,,,,,CP89
CP91,,CP91,"Control of Pollution (Silage, Slurry and Agricultural fuel Oil) Regulations 1991",,,,,,CP91
CP96,,CP96,Criminal Procedure and Investigations Act 1996,,,,,,CP96
CQ86,,CQ86,Company Directors Disqualification Act 1986,,,,,,CQ86
CR00,,CR00,Countryside and Rights of Way Act 2000,,,,,,CR00
CR02,,CR02,Cremation Act 1902,,,,,,CR02
CR03,,CR03,Creosote (Prohibition on Use and Marketing) (No2) Regulations 2003,,,,,,CR03
CR56,,CR56,Copyright Act 1956,,,,,,CR56
CS00,,CS00,Care Standards Act 2000,,,,,,CS00
CS06,,CS06,Companies Act 2006,,,,,,CS06
CS70,,CS70,Conservation of Seals Act 1970,,,,,,CS70
CS85,,CS85,Company Securities (Insider Dealing) Act 1985,,,,,,CS85
CS90,,CS90,Courts and Legal Services Act 1990,,,,,,CS90
CS91,,CS91,Child Support Act 1991,,,,,,CS91
CS97,,CS97,Crime (Sentences) Act 1997,,,,,,CS97
CT03,,CT03,Courts Act 2003,,,,,,CT03
CT04,,CT04,Christmas Day (Trading) Act 2004,,,,,,CT04
CT83,,CT83,Car Tax Act 1983 (Schedule 1),,,,,,CT83
CT92,,CT92,Council Tax ( Administration & Enforcement ) Regulations 1992,,,,,,CT92
CT94,,CT94,Channel Tunnel (Security) Order 1994,,,,,,CT94
CU59,,CU59,County Courts Act 1959,,,,,,CU59
CU84,,CU84,County Courts Act 1984,,,,,,CU84
CV60,,CV60,Caravan Sites and Control of Development Act 1960,,,,,,CV60
CV68,,CV68,Caravan Sites Act 1968,,,,,,CV68
CW96,,CW96,Chemical Weapons Act 1996,,,,,,CW96
CY33,,CY33,Children and Young Persons Act 1933,,,,,,CY33
CY55,,CY55,Children and Young Persons (Harmful Publications) Act 1955,,,,,,CY55
CY63,,CY63,Children and Young Persons Act 1963,,,,,,CY63
CY69,,CY69,Children and Young Persons Act 1969,,,,,,CY69
CY91,,CY91,Children and Young Persons (Protection from Tobacco) Act 1991,,,,,,CY91
DA05,,DA05,Drugs Act 2005,,,,,,DA05
DA14,,DA14,Deeds of Arrangement Act 1914,,,,,,DA14
DB69,,DB69,Debtors Act 1869,,,,,,DB69
DC03,,DC03,Dealing in Cultural Objects (Offences) Act 2003,,,,,,DC03
DD89,,DD89,Dangerous Dogs Act 1989,,,,,,DD89
DD91,,DD91,Dangerous Dogs Act 1991,,,,,,DD91
DD95,,DD95,Disability Discrimination Act 1995,,,,,,DD95
DE84,,DE84,Dentists Act 1984,,,,,,DE84
DF37,,DF37,Diseases of Fish Act 1937,,,,,,DF37
DG06,,DG06,Dogs Act 1906,,,,,,DG06
DG71,,DG71,Dogs Act 1871,,,,,,DG71
DG96,,DG96,Dogs (Fouling of Land)  Act 1996,,,,,,DG96
DH49,,DH49,Docking and Nicking of Horses Act 1949,,,,,,DH49
DH51,,DH51,Disorderly Houses Act 1751,,,,,,DH51
DH87,,DH87,Drivers' Hours (Goods Vehicles) (Keeping of Records) Regulations 1987,,,,,,DH87
DN84,,DN84,Data Protection Act 1984,,,,,,DN84
DN98,,DN98,Data Protection Act 1998,,,,,,DN98
DP53,,DP53,Dogs (Protection of Livestock) Act 1953,,,,,,DP53
DR63,,DR63,Deer Act 1963,,,,,,DR63
DR80,,DR80,Deer Act 1980,,,,,,DR80
DR91,,DR91,Deer Act 1991,,,,,,DR91
DT86,,DT86,Drug Trafficking Offences Act 1986,,,,,,DT86
DT94,,DT94,Drug Trafficking Offences Act 1994,,,,,,DT94
DV04,,DV04,"Domestic Violence, Crime and Victims Act 2004",,,,,,DV04
DW76,,DW76,Dangerous Wild Animals Act 1976,,,,,,DW76
EA02,,EA02,Enterprise Act 2002,,,,,,EA02
EA06,,EA06,Equality Act 2006,,,,,,EA06
EA20,,EA20,"Employment of Women, Young Persons and Children's Act 1920",,,,,,EA20
EA89,,EA89,Electricity Act 1989,,,,,,EA89
EC08,,EC08,Egg and Chicks (England) Regs 2008,,,,,,EC08
EC60,,EC60,Ecclesiastical Courts Jurisdiction Act 1860,,,,,,EC60
ED05,,ED05,Education Act 2005,,,,,,ED05
ED06,,ED06,Education and Inspections Act 2006,,,,,,ED06
ED44,,ED44,Education Act 1944,,,,,,ED44
ED96,,ED96,Education Act 1996,,,,,,ED96
EH47,,EH47,Exchange Control Act 1947,,,,,,EH47
